Symbol,Name,Price,Chg %,Vol,Rel vol,Mkt cap,P/E,EPS diluted TTM,EPS diluted growth TTM YoY,Div yield TTM,Sector,Analyst rating
NSE:COALINDIA,COALINDIA,406.9,-0.3794834129024388,7349534,1.383103396789875,2514393234375.0,8.036451400108232,50.6318,-5.85069786642171,6.495098039215687,Energy Minerals,-0.4
NSE:POWERGRID,POWERGRID,268.0,0.6950967499530426,6788747,0.7808314010036004,2474425451799.0,15.680675907343588,17.0911,3.3700457847210985,3.3828227776733693,Utilities,-0.26363636363636367
NSE:HINDZINC,HINDZINC,558.0,-1.6740088105726871,2255774,0.35690628584747897,2398290874772.0,13.814548353394962,40.3922,66.63723823825477,1.937984496124031,Non-Energy Minerals,-0.33636363636363636
NSE:HINDALCO,HINDALCO,1041.6,-0.7905514810934547,2525252,0.4173467431337062,2360037226210.0,14.131054131054132,73.71,-3.1533307055577526,0.47609979051609214,Non-Energy Minerals,0.4454545454545455
NSE:TATASTEEL,TATASTEEL,185.5,-0.2688172043010753,13376332,0.6169384636083217,2323185423557.0,20.96613770966138,8.8476,143.126047649144,2.1493820526598606,Non-Energy Minerals,-0.49090909090909096
NSE:DIVISLAB,DIVISLAB,8588.0,1.255674114248659,404163,0.9289625650356311,2255155475769.0,77.94341206634446,110.1825,26.842939585772452,0.35314891112419067,Health Technology,0.5121212121212121
NSE:GRASIM,GRASIM,3278.7,0.8675588371019788,1498743,1.3174959978262422,2219985683098.0,39.10196779964222,83.85,34.86062793424398,0.306569790612833,Non-Energy Minerals,0.5363636363636364
NSE:EICHERMOT,EICHERMOT,8018.5,-0.391304347826087,262453,0.6619014677172567,2211272523193.0,38.170609796734425,210.07,19.26308618144658,1.0180012414649287,Consumer Durables,0.3787878787878788
NSE:ADANIGREEN,ADANIGREEN,1308.0,-1.4763482976800173,924653,0.6291297027658416,2182508395386.0002,120.76781740792377,10.8307,3.282315357841041,,Utilities,-0.46969696969696967
NSE:TVSMOTOR,TVSMOTOR,4356.8,-0.6634898196493184,444885,0.4918345416796567,2081831793518.0,60.34842182394406,72.1941,43.759968935750784,0.27384755819260614,Consumer Durables,0.35454545454545455
NSE:INDIGO,INDIGO,5220.0,-1.0520329826556725,554778,1.256668672100668,2041599624023.0,,-124.338,-171.76382315595058,0.0,Transportation,-0.09090909090909091
NSE:IOC,IOC,137.8,-0.5843734218310384,8311679,1.0101578134780698,1955791501953.0,5.639290055124265,24.4357,99.32215279703739,5.956678700361011,Energy Minerals,-0.4666666666666667
NSE:ADANIENSOL,ADANIENSOL,1603.0,0.8747089547542691,2293489,1.0826781057692125,1944497603760.0,65.96707818930041,24.3,21.81428084457902,,Utilities,-0.02121212121212121
NSE:TORNTPHARM,TORNTPHARM,4971.0,1.4489795918367347,426548,0.9835773745013472,1861834044189.0,77.13949197491687,64.4417,8.94108140274002,0.7763023493360572,Health Technology,0.49090909090909096
NSE:SOLARINDS,SOLARINDS,20100.0,0.5,169940,0.9435900397225089,1806452893494.0,91.33523940738425,220.0684,57.8371555109286,0.055101938586384805,Process Industries,0.4
NSE:WIPRO,WIPRO,178.06,-2.1110500274876323,7058670,0.9340951745753832,1800799000000.0,14.130400279338476,12.6012,-1.8391717884601935,4.395604395604396,Technology Services,-0.5575757575757576
NSE:SBILIFE,SBILIFE,1778.0,-0.6925826630920515,584438,0.7109651210587583,1794834013733.0,68.57160487637442,25.9291,4.511523672097313,0.1509223029625489,Finance,-0.35454545454545455
NSE:HYUNDAI,HYUNDAI,2186.0,-0.182648401826484,474062,0.8307344151211742,1776296260465.0,35.876529594033926,60.9312,-10.305995822311333,0.9606147934678195,Consumer Durables,0.2212121212121212
NSE:MOTHERSON,MOTHERSON,170.4,1.3923598714744754,12693246,0.4288258696859621,1775723480225.0,41.03156830166871,4.1529,31.993134793249205,0.35661218424962854,Producer Manufacturing,0.5575757575757576
NSE:TMCV,TMCV,471.65,0.2657312925170068,6376494,0.7026643538869839,1730685001742.0,41.4480679830921,11.3793,,0.8511543781253326,Consumer Durables,0.4755244755244755
NSE:VAML,VAML,445.95,1.007927519818797,9178000,1.002138339159559,1727218400591.0,,,,0.0,Non-Energy Minerals,-0.5113636363636364
NSE:PIDILITIND,PIDILITIND,1674.0,0.2995805871779509,655493,0.49200618395703444,1699506468422.0,64.45899114362726,25.97,21.326792805419284,0.6887052341597797,Process Industries,0.4242424242424242
NSE:DLF,DLF,665.75,-0.782414307004471,6097190,1.7434530830292727,1668359966797.0,37.06642169144257,17.961,-0.8643528944231078,1.1869436201780417,Finance,0.4454545454545455
NSE:JIOFIN,JIOFIN,245.8,-1.581581581581577,9191420,0.518995285495346,1649464792222.0,76.43272489816226,3.2159,25.758642264977322,0.24019215372297836,Finance,-0.4242424242424242
NSE:ABB,ABB,7546.0,-1.4882506527415142,126238,0.5518576967969538,1622794304901.0,53.518945110811025,140.9968,66.43212189245882,0.5139723165317315,Producer Manufacturing,0.17575757575757575
NSE:CHOLAFIN,CHOLAFIN,1868.0,-0.8860826656762374,523184,0.4232046860674848,1609861246806.0,27.600472813238767,67.68,28.08478425435277,0.10592939805619554,Finance,0.17575757575757575
